=== EasyOCR 인식 결과 - 2025-04-04 15:06:39 ===



=== 이미지: IMG_OCR_6_F_0000311.png ===
ID 1: JSON=하동규, EasyOCR=하 동
ID 3: JSON=황보혜리, EasyOCR=항보 혜리
ID 4: JSON=4277.7.27, EasyOCR=4277 ,7 27
ID 5: JSON=행운, EasyOCR=행운
ID 6: JSON=352883-41-232044, EasyOCR=352883-41 232044
ID 7: JSON=363-1143-7154, EasyOCR=3631 | 43-7 ) 54
ID 8: JSON=시숙, EasyOCR=시축
ID 9: JSON=장성수, EasyOCR=장청수
ID 10: JSON=618-4629-3248, EasyOCR=6 18 4629-3248
ID 11: JSON=6905, EasyOCR=6905
ID 12: JSON=12, EasyOCR=2
ID 13: JSON=25, EasyOCR=25
ID 14: JSON=황목태윤, EasyOCR=항무태움
ID 15: JSON=송하이, EasyOCR=승하이


=== 이미지: IMG_OCR_6_F_0014514.png ===
ID 1: JSON=7238822981275, EasyOCR=229 6요N)981))5
ID 2: JSON=생존보험, EasyOCR=생존 보현
ID 3: JSON=주서빈, EasyOCR=주서민
ID 4: JSON=6581.3.31, EasyOCR=6581 . > 3 1
ID 5: JSON=한신, EasyOCR=한신
ID 6: JSON=241435-70-007585, EasyOCR=24 ( 435-70-60)585
ID 7: JSON=802-9266-3897, EasyOCR=8o2-9266-364)
ID 8: JSON=자녀, EasyOCR=자녀
ID 9: JSON=은건후, EasyOCR=건후
ID 10: JSON=330-5866-7150, EasyOCR=330-5666-) 1 50
ID 11: JSON=2557, EasyOCR=255)
ID 12: JSON=9, EasyOCR=
ID 13: JSON=16, EasyOCR=
ID 14: JSON=함중수, EasyOCR=
ID 15: JSON=연하온, EasyOCR=연하온


=== 이미지: IMG_OCR_6_F_0014611.png ===
ID 1: JSON=난건하, EasyOCR=난건하
ID 2: JSON=021342-6302846, EasyOCR=0기 3426302846
ID 3: JSON=176-5343-6687, EasyOCR=[176-5436687
ID 4: JSON=대구광역시, EasyOCR=대구 광역(
ID 5: JSON=의성군, EasyOCR=의 (군
ID 6: JSON=상괴리, EasyOCR=괴리
ID 7: JSON=943, EasyOCR=
ID 8: JSON=수한여국병원, EasyOCR=수한여국 병원
ID 9: JSON=7481.4.12, EasyOCR={7481 . 4 ()
ID 10: JSON=칼베병, EasyOCR=갈베현
ID 11: JSON=7769.2.10, EasyOCR=77769.2 |0
ID 12: JSON=381, EasyOCR=38
ID 13: JSON=9432.3.13, EasyOCR=9432. 3. | 3
ID 14: JSON=4499.11.23, EasyOCR=나49Q ( ( . 23
ID 15: JSON=9462, EasyOCR=9462
ID 16: JSON=1, EasyOCR=
ID 17: JSON=22, EasyOCR=
ID 18: JSON=음예승, EasyOCR=유예5


=== 이미지: IMG_OCR_6_F_0015011.png ===
ID 1: JSON=옹준영, EasyOCR=용준 영
ID 2: JSON=055734-0421643, EasyOCR=055734 042 / 643
ID 3: JSON=280-9044-7848, EasyOCR=280-90 44 - 7848
ID 4: JSON=전라북도, EasyOCR=전라 북도
ID 5: JSON=속초시, EasyOCR=속 조 ^
ID 6: JSON=월야리, EasyOCR=월 야리
ID 7: JSON=841, EasyOCR=84
ID 8: JSON=정화연세내과의원, EasyOCR=정와 연 세내과 의 원
ID 9: JSON=3950.11.12, EasyOCR=3 9 50
ID 10: JSON=서혜류, EasyOCR=서혜류
ID 11: JSON=2385.11.25, EasyOCR=23 85. 1 1 . 25
ID 12: JSON=203, EasyOCR=203
ID 13: JSON=5853.1.21, EasyOCR=5853. 1 .2
ID 14: JSON=5687.1.7, EasyOCR=5687 /. 7
ID 15: JSON=7866, EasyOCR=78 66
ID 16: JSON=7, EasyOCR=
ID 17: JSON=18, EasyOCR=1 8
ID 18: JSON=애민건, EasyOCR=애민 건


=== 이미지: IMG_OCR_6_F_0015311.png ===
ID 1: JSON=사소영, EasyOCR=((
ID 2: JSON=380098-6049392, EasyOCR=380098- 6049392
ID 3: JSON=206-3754-8536, EasyOCR=106 3754 -8536
ID 4: JSON=전라남도, EasyOCR=전화 낡도
ID 5: JSON=분당구, EasyOCR=분당구
ID 6: JSON=서화리, EasyOCR=( 화리
ID 7: JSON=387, EasyOCR=3 87
ID 8: JSON=익홍병원, EasyOCR=의용 병원
ID 9: JSON=6120.8.15, EasyOCR=6 20 8 (5
ID 10: JSON=암죽심낭, EasyOCR=암 죽 심 낭
ID 11: JSON=8056.2.14, EasyOCR=90 56 2' (4
ID 12: JSON=430, EasyOCR=430
ID 13: JSON=1194.3.19, EasyOCR=( ( 94 3 (9
ID 14: JSON=3573.4.15, EasyOCR=3 5(73 4 (5
ID 15: JSON=7609, EasyOCR=[760
ID 16: JSON=10, EasyOCR=
ID 17: JSON=19, EasyOCR=[ 9
ID 18: JSON=은하담, EasyOCR=은하다


=== 이미지: IMG_OCR_6_F_0015314.png ===
ID 1: JSON=1274012198576, EasyOCR=(2740 2198576
ID 2: JSON=해상보험, EasyOCR=선상 보 헌
ID 3: JSON=모진우, EasyOCR=모 진우
ID 4: JSON=2179.7.23, EasyOCR=2( (9 7 23
ID 5: JSON=부자, EasyOCR=부다
ID 6: JSON=644389-28-057465, EasyOCR=644 3 89-28-057465
ID 7: JSON=643-7197-5871, EasyOCR=643 - t7( 97 - 587 (
ID 8: JSON=고조모, EasyOCR=닫도모
ID 9: JSON=범나율, EasyOCR=범 나울
ID 10: JSON=402-4502-5757, EasyOCR=402 나59 - 5751
ID 11: JSON=2999, EasyOCR=2999
ID 12: JSON=1, EasyOCR=
ID 13: JSON=4, EasyOCR=
ID 14: JSON=전준민, EasyOCR=건 존민
ID 15: JSON=사승은, EasyOCR=사 승은


=== 이미지: IMG_OCR_6_F_0015911.png ===
ID 1: JSON=창효진, EasyOCR=장요 진
ID 2: JSON=771687-7078793, EasyOCR=77 | 6 8n 70h87 9 3
ID 3: JSON=978-6208-5700, EasyOCR=978 - 6208 - 5700
ID 4: JSON=대구광역시, EasyOCR=대구 광 역시
ID 5: JSON=횡성군, EasyOCR=왕 섬 군
ID 6: JSON=학상리, EasyOCR=남 상리
ID 7: JSON=47, EasyOCR=
ID 8: JSON=나아하동병원, EasyOCR=나아 농동 U궁원
ID 9: JSON=6228.5.3, EasyOCR=6 2 2 8 5 3
ID 10: JSON=안구함몰, EasyOCR=안구 남 몰
ID 11: JSON=1050.12.1, EasyOCR=[ 0 50 12
ID 12: JSON=732, EasyOCR=[7 32
ID 13: JSON=0793.12.4, EasyOCR=07 9 3 12
ID 14: JSON=7639.2.12, EasyOCR=7 6 3 9 그 . 12
ID 15: JSON=7153, EasyOCR=7 53
ID 16: JSON=10, EasyOCR=10
ID 17: JSON=7, EasyOCR=
ID 18: JSON=묵광수, EasyOCR=묵 광수


=== 이미지: IMG_OCR_6_F_0017114.png ===
ID 1: JSON=8933941564046, EasyOCR=89 3 394 [ 564046
ID 2: JSON=화재보험, EasyOCR=화재보 형
ID 3: JSON=심동휘, EasyOCR=상 동 훈내
ID 4: JSON=6576.6.27, EasyOCR=6576.6.27
ID 5: JSON=한신, EasyOCR=하스
ID 6: JSON=446538-40-831547, EasyOCR=446 5 38-40-83 [ 5 47
ID 7: JSON=571-3022-0650, EasyOCR=1- 3022-05 50 57
ID 8: JSON=본인, EasyOCR=본인
ID 9: JSON=마시환, EasyOCR=b시한
ID 10: JSON=854-1054-4131, EasyOCR=854-1054-4( 3 (
ID 11: JSON=1245, EasyOCR=[246
ID 12: JSON=1, EasyOCR=
ID 13: JSON=29, EasyOCR=29
ID 14: JSON=시채빈, EasyOCR=시채난
ID 15: JSON=란우민, EasyOCR=감운 D


=== 이미지: IMG_OCR_6_F_0018311.png ===
ID 1: JSON=요민겸, EasyOCR=오민 경
ID 2: JSON=169287-7923944, EasyOCR=69287-7923 944
ID 3: JSON=815-5160-5379, EasyOCR=f ( 5-51 60-5379
ID 4: JSON=인천광역시, EasyOCR=인 천광 역
ID 5: JSON=진주시, EasyOCR=진주
ID 6: JSON=범곡리, EasyOCR=범 곡리
ID 7: JSON=120, EasyOCR=20
ID 8: JSON=이맘아아동병원, EasyOCR=이망아아동 병원
ID 9: JSON=9078.3.26, EasyOCR=907P. 3.26
ID 10: JSON=단어농, EasyOCR=단어농
ID 11: JSON=2253.2.27, EasyOCR=22 53.2.277
ID 12: JSON=096, EasyOCR=
ID 13: JSON=1413.10.26, EasyOCR=741 3. 702C
ID 14: JSON=2596.4.15, EasyOCR=2 5 96 4. 15
ID 15: JSON=8778, EasyOCR=877P
ID 16: JSON=12, EasyOCR=2
ID 17: JSON=5, EasyOCR=
ID 18: JSON=이아리, EasyOCR=이야리


=== 이미지: IMG_OCR_6_F_0018511.png ===
ID 1: JSON=담예하, EasyOCR=담예하
ID 2: JSON=810091-7231887, EasyOCR=8/009/-7123 ( 88
ID 3: JSON=809-1525-3613, EasyOCR=Po9-/f2f-36/3
ID 4: JSON=서울특별시, EasyOCR=서울 특 별 시
ID 5: JSON=영주시, EasyOCR=여주
ID 6: JSON=말흘리, EasyOCR=말흘리
ID 7: JSON=886, EasyOCR=[86
ID 8: JSON=찰경병원, EasyOCR=찰 경 병원
ID 9: JSON=1253.7.26, EasyOCR=1253,7.26
ID 10: JSON=숨가쁨, EasyOCR=가쁨
ID 11: JSON=9746.8.20, EasyOCR=9746,0.20
ID 12: JSON=295, EasyOCR=295
ID 13: JSON=3133.12.6, EasyOCR=3 / 3 3 . 12. 6
ID 14: JSON=4012.4.30, EasyOCR=40 | 2.4 3 0
ID 15: JSON=0245, EasyOCR=O24f
ID 16: JSON=3, EasyOCR=3
ID 17: JSON=16, EasyOCR=
ID 18: JSON=돈민성, EasyOCR=돈민서


=== 이미지: IMG_OCR_6_F_0018514.png ===
ID 1: JSON=7556049373280, EasyOCR=05f6 0 493) 3200
ID 2: JSON=생존보험, EasyOCR=생조 보험
ID 3: JSON=가대현, EasyOCR=7대 겪
ID 4: JSON=1696.11.23, EasyOCR=16 96 11 . 23
ID 5: JSON=협동, EasyOCR=형동
ID 6: JSON=438181-85-955680, EasyOCR=43 0 / 81-05-9f5 68o
ID 7: JSON=559-6171-3876, EasyOCR=559617 | -3076
ID 8: JSON=처형, EasyOCR=저 혀
ID 9: JSON=궉예건, EasyOCR=값 예권
ID 10: JSON=583-4121-3162, EasyOCR=503 -411/-3 1 62
ID 11: JSON=1018, EasyOCR=1 0
ID 12: JSON=12, EasyOCR=12
ID 13: JSON=24, EasyOCR=24
ID 14: JSON=학서원, EasyOCR=학 &원
ID 15: JSON=최강현, EasyOCR=최가 현


=== 이미지: IMG_OCR_6_F_0018611.png ===
ID 1: JSON=길시후, EasyOCR=길시후
ID 2: JSON=4979810621780, EasyOCR=49798 | 662 | 780
ID 3: JSON=621-4861-8467, EasyOCR=62 |-4861-8467
ID 4: JSON=전라남도, EasyOCR=전라남도
ID 5: JSON=임실군, EasyOCR=임실군
ID 6: JSON=율촌면, EasyOCR=울존면
ID 7: JSON=929, EasyOCR=929
ID 8: JSON=울새서싹병원, EasyOCR=물새서악병원
ID 9: JSON=1500.10.10, EasyOCR=[500 | 0 | 0
ID 10: JSON=대망탈장, EasyOCR=대망탈장
ID 11: JSON=2598.12.7, EasyOCR=2598. ) 2.7
ID 12: JSON=905, EasyOCR=905
ID 13: JSON=2503.3.20, EasyOCR=2503.3.20
ID 14: JSON=4512.8.3, EasyOCR=45 | 2.8.3
ID 15: JSON=3977, EasyOCR=3977
ID 16: JSON=12, EasyOCR=12
ID 17: JSON=7, EasyOCR=
ID 18: JSON=감도아, EasyOCR=감도아


=== 이미지: IMG_OCR_6_F_0018814.png ===
ID 1: JSON=9253615278339, EasyOCR=92536 /5278339
ID 2: JSON=간병보험, EasyOCR=간병보럼
ID 3: JSON=함하담, EasyOCR=함하담
ID 4: JSON=7584.11.22, EasyOCR=7158 4 / | . 22
ID 5: JSON=행운, EasyOCR=행운
ID 6: JSON=439803-72-033935, EasyOCR=4398 0 3-72-033935
ID 7: JSON=301-8605-3743, EasyOCR=30 |- 86 05-3743
ID 8: JSON=부, EasyOCR=
ID 9: JSON=탕하엘, EasyOCR=당하일
ID 10: JSON=125-9678-8050, EasyOCR=125-96778- 8o50
ID 11: JSON=6422, EasyOCR=6422
ID 12: JSON=12, EasyOCR=1 2
ID 13: JSON=10, EasyOCR=
ID 14: JSON=함소윤, EasyOCR=함소운
ID 15: JSON=옹미나, EasyOCR=용미나


=== 이미지: IMG_OCR_6_F_0019314.png ===
ID 1: JSON=5399646445511, EasyOCR=53 9 96464455 / /
ID 2: JSON=3대질환보험, EasyOCR=거대 길완오험
ID 3: JSON=류다해, EasyOCR=묶다해
ID 4: JSON=9286.12.27, EasyOCR=9286. 2' 27
ID 5: JSON=강산, EasyOCR=가산
ID 6: JSON=042149-24-714656, EasyOCR=642 49 14 - n14 656
ID 7: JSON=015-0332-3583, EasyOCR=0 (5-0332- 3583
ID 8: JSON=자녀, EasyOCR=7[
ID 9: JSON=도승언, EasyOCR=도 승엔
ID 10: JSON=028-4840-2126, EasyOCR=018 나용uo 126
ID 11: JSON=6600, EasyOCR=b6oo
ID 12: JSON=2, EasyOCR=2
ID 13: JSON=2, EasyOCR=2
ID 14: JSON=신유한, EasyOCR=선 유한
ID 15: JSON=천태건, EasyOCR=천대 권


=== 이미지: IMG_OCR_6_F_0021111.png ===
ID 1: JSON=서둔서후, EasyOCR=서문 서후
ID 2: JSON=104823-2323467, EasyOCR=(09823-2323489
ID 3: JSON=670-9330-2343, EasyOCR=670-7330-2343
ID 4: JSON=대전광역시, EasyOCR=대전 광역시
ID 5: JSON=무안군, EasyOCR=유이2
ID 6: JSON=두곡리, EasyOCR=두극리
ID 7: JSON=776, EasyOCR=776
ID 8: JSON=움새병원, EasyOCR=피 병 원
ID 9: JSON=3232.1.29, EasyOCR=3232. ( . 29
ID 10: JSON=혈량감소, EasyOCR=혈량감수
ID 11: JSON=4142.2.9, EasyOCR=다( 42 .2.드
ID 12: JSON=831, EasyOCR=8 3
ID 13: JSON=2831.10.25, EasyOCR=28 31  [0.25
ID 14: JSON=1391.2.13, EasyOCR=[59/, 2 13
ID 15: JSON=6813, EasyOCR=68 /3
ID 16: JSON=10, EasyOCR=[0
ID 17: JSON=29, EasyOCR=
ID 18: JSON=류윤지, EasyOCR=극유 2


=== 이미지: IMG_OCR_6_F_0021114.png ===
ID 1: JSON=6843578502160, EasyOCR=67435)8502 6O
ID 2: JSON=재물보험, EasyOCR=재둘 오형
ID 3: JSON=동방이나, EasyOCR=동방이다
ID 4: JSON=8686.6.17, EasyOCR=8686-6. [7
ID 5: JSON=아름, EasyOCR=아름
ID 6: JSON=115370-07-186642, EasyOCR=5370-69-[866 Y
ID 7: JSON=845-7131-8173, EasyOCR=845-9131-8 (33
ID 8: JSON=시모, EasyOCR=
ID 9: JSON=서둔연준, EasyOCR=서문 연글
ID 10: JSON=097-7220-9589, EasyOCR=099-2220-7f8'
ID 11: JSON=5098, EasyOCR=
ID 12: JSON=2, EasyOCR=
ID 13: JSON=5, EasyOCR=
ID 14: JSON=로성연, EasyOCR=조성든
ID 15: JSON=삼이든, EasyOCR=상 이튼


=== 이미지: IMG_OCR_6_F_0021714.png ===
ID 1: JSON=6837891773222, EasyOCR=683789 773222
ID 2: JSON=요양보험, EasyOCR=요 양보형
ID 3: JSON=인시언, EasyOCR=인 시인
ID 4: JSON=8212.11.14, EasyOCR=8 2 (2 ( ( . (4
ID 5: JSON=한신, EasyOCR=한신
ID 6: JSON=279250-48-558944, EasyOCR=279256 48-558944
ID 7: JSON=326-7817-3500, EasyOCR=326-78 (73500
ID 8: JSON=형, EasyOCR=
ID 9: JSON=번지오, EasyOCR=번 저오
ID 10: JSON=838-4774-3540, EasyOCR=838-4774-3540
ID 11: JSON=1427, EasyOCR=(427
ID 12: JSON=9, EasyOCR=
ID 13: JSON=22, EasyOCR=22
ID 14: JSON=피지온, EasyOCR=피지온
ID 15: JSON=팽수하, EasyOCR=평수 하


=== 이미지: IMG_OCR_6_F_0021914.png ===
ID 1: JSON=1350636011512, EasyOCR=13506360 | ( 512
ID 2: JSON=상해보험, EasyOCR=상해보험
ID 3: JSON=동유건, EasyOCR=동유건
ID 4: JSON=8535.4.20, EasyOCR=8535.4 20
ID 5: JSON=한신, EasyOCR=한신
ID 6: JSON=390305-95-261926, EasyOCR=390305-95-26 ( 926
ID 7: JSON=314-9820-3041, EasyOCR=3 ( 4-9820-304
ID 8: JSON=고조부, EasyOCR=고조부
ID 9: JSON=견지형, EasyOCR=견지 형
ID 10: JSON=057-2903-1926, EasyOCR=057-2903-1926
ID 11: JSON=8920, EasyOCR=8920
ID 12: JSON=12, EasyOCR=2
ID 13: JSON=13, EasyOCR=[3
ID 14: JSON=노영식, EasyOCR=노영식
ID 15: JSON=박채린, EasyOCR=낙재린


=== 이미지: IMG_OCR_6_F_0022311.png ===
ID 1: JSON=운동훈, EasyOCR=운동훈
ID 2: JSON=755762-4006421, EasyOCR=(7557762-4006421
ID 3: JSON=645-1978-3550, EasyOCR=645-(978-3550
ID 4: JSON=충청남도, EasyOCR=춤청남도
ID 5: JSON=울릉군, EasyOCR=울륭군
ID 6: JSON=보은리, EasyOCR=날은리
ID 7: JSON=900, EasyOCR=900
ID 8: JSON=단탑검병원, EasyOCR=단단 검병원
ID 9: JSON=6851.12.24, EasyOCR=6851  12 과
ID 10: JSON=열실신, EasyOCR=열심 신
ID 11: JSON=8560.6.30, EasyOCR=8560,6 38
ID 12: JSON=481, EasyOCR=나 용
ID 13: JSON=0845.3.2, EasyOCR=0845 3, 2
ID 14: JSON=6143.1.22, EasyOCR=6143 (  22
ID 15: JSON=7102, EasyOCR=( ( 02
ID 16: JSON=4, EasyOCR=
ID 17: JSON=5, EasyOCR=5
ID 18: JSON=석소현, EasyOCR=( [현


=== 이미지: IMG_OCR_6_F_0022614.png ===
ID 1: JSON=0680081995692, EasyOCR=65ls68195691
ID 2: JSON=펫보험, EasyOCR=트험
ID 3: JSON=어금유준, EasyOCR=아골유주
ID 4: JSON=1739.1.20, EasyOCR=17 39 ! . J0
ID 5: JSON=마을, EasyOCR=
ID 6: JSON=246920-36-581040, EasyOCR=2216 9o-3658106
ID 7: JSON=683-2899-2753, EasyOCR=683-2899-2753
ID 8: JSON=손녀, EasyOCR=손러
ID 9: JSON=염동원, EasyOCR=@책원
ID 10: JSON=724-4288-2968, EasyOCR=724-466-J96
ID 11: JSON=9258, EasyOCR=9-58
ID 12: JSON=4, EasyOCR=
ID 13: JSON=9, EasyOCR=
ID 14: JSON=수진우, EasyOCR=스진우
ID 15: JSON=양예원, EasyOCR=


=== 이미지: IMG_OCR_6_F_0022811.png ===
ID 1: JSON=옥태리, EasyOCR=욕대리
ID 2: JSON=312827-2128156, EasyOCR=3 | 2 827-2 | 28 ( 56
ID 3: JSON=995-0165-3102, EasyOCR=995-0 | 65-31 02
ID 4: JSON=부산광역시, EasyOCR=산공역시
ID 5: JSON=정읍시, EasyOCR=정음 시
ID 6: JSON=보라리, EasyOCR=보라리
ID 7: JSON=483, EasyOCR=483
ID 8: JSON=산맘부아동병원, EasyOCR=산만부아동병원
ID 9: JSON=1659.10.26, EasyOCR=659 ( 026
ID 10: JSON=동방서맥, EasyOCR=동방서 맥
ID 11: JSON=7922.1.17, EasyOCR=7922 [ /7
ID 12: JSON=880, EasyOCR=680
ID 13: JSON=8656.7.31, EasyOCR=8656 7.31
ID 14: JSON=9133.12.28, EasyOCR=9 (33 |2, 28
ID 15: JSON=4875, EasyOCR=4875
ID 16: JSON=10, EasyOCR=0
ID 17: JSON=24, EasyOCR=24
ID 18: JSON=한우림, EasyOCR=한우림


=== 이미지: IMG_OCR_6_F_0023211.png ===
ID 1: JSON=채예율, EasyOCR=채예감
ID 2: JSON=092336-9339024, EasyOCR=092336- 9339 024
ID 3: JSON=994-7339-0518, EasyOCR=994-2339-0513
ID 4: JSON=인천광역시, EasyOCR=인천 광역시
ID 5: JSON=경산시, EasyOCR=경산시
ID 6: JSON=청도리, EasyOCR=청도리
ID 7: JSON=221, EasyOCR=22
ID 8: JSON=양성함심병원, EasyOCR=양성 감심 병원
ID 9: JSON=9903.10.23, EasyOCR=99 03 1023
ID 10: JSON=방광류, EasyOCR=방광류
ID 11: JSON=9425.12.29, EasyOCR=9425 12 29
ID 12: JSON=993, EasyOCR=993
ID 13: JSON=7513.12.4, EasyOCR=251 ? . 12
ID 14: JSON=9728.9.11, EasyOCR=97 28 . 9 . 1 /
ID 15: JSON=4572, EasyOCR=45)
ID 16: JSON=12, EasyOCR=1 2
ID 17: JSON=6, EasyOCR=
ID 18: JSON=왕민선, EasyOCR=왕민 선


=== 이미지: IMG_OCR_6_F_0024114.png ===
ID 1: JSON=0294563733510, EasyOCR=02945637335/0
ID 2: JSON=치매간병보험, EasyOCR=치뻐 간녀 p문
ID 3: JSON=오영민, EasyOCR=오염민
ID 4: JSON=0307.3.19, EasyOCR=05 62 } 19
ID 5: JSON=아리, EasyOCR=(리
ID 6: JSON=825705-11-337676, EasyOCR=@L5765- 1( -330646
ID 7: JSON=635-8723-2208, EasyOCR=635- 6723-206
ID 8: JSON=형, EasyOCR=
ID 9: JSON=당빈, EasyOCR=다비
ID 10: JSON=759-0760-0326, EasyOCR=059-oI7 bo- 0426
ID 11: JSON=3122, EasyOCR=(L고
ID 12: JSON=12, EasyOCR=
ID 13: JSON=15, EasyOCR=
ID 14: JSON=유태우, EasyOCR=유 대우


=== 이미지: IMG_OCR_6_F_0025414.png ===
ID 1: JSON=7390894403590, EasyOCR=7 390694403 590
ID 2: JSON=입원수술보험, EasyOCR=입원 수 술 보 힘
ID 3: JSON=황우혁, EasyOCR=밥 우 혀
ID 4: JSON=2364.6.29, EasyOCR=1 3 6 4 . 6 19
ID 5: JSON=시민, EasyOCR=시 더
ID 6: JSON=512347-70-456726, EasyOCR=5 | 1 3 47-0 0 - 45 67 1 6
ID 7: JSON=351-0939-1876, EasyOCR=35 |-0 93 9- ( 8? 6
ID 8: JSON=자녀, EasyOCR=자 녀
ID 9: JSON=윤민지, EasyOCR=운 민 지
ID 10: JSON=466-8760-6448, EasyOCR=466-64 60- 6448
ID 11: JSON=2138, EasyOCR=11 3 @
ID 12: JSON=6, EasyOCR=
ID 13: JSON=26, EasyOCR=26
ID 14: JSON=평예원, EasyOCR=펴 예 원
ID 15: JSON=로혁준, EasyOCR=로 혀 준


=== 이미지: IMG_OCR_6_F_0026011.png ===
ID 1: JSON=248448-2111950, EasyOCR=248448-211 | 950
ID 2: JSON=387-1304-0776, EasyOCR=387/3040776
ID 3: JSON=서원구, EasyOCR=서원구
ID 4: JSON=어촌리, EasyOCR=어존리
ID 5: JSON=364, EasyOCR=364
ID 6: JSON=한스더메디의원, EasyOCR=한스터 메디 의원
ID 7: JSON=2673.3.11, EasyOCR=2673.3.|
ID 8: JSON=다식증, EasyOCR=다식증
ID 9: JSON=4973.7.19, EasyOCR=4973.7.| 9
ID 10: JSON=374, EasyOCR=374
ID 11: JSON=9013.2.24, EasyOCR=9013.2 24
ID 12: JSON=0209.5.24, EasyOCR=0209-5.24
ID 13: JSON=9428, EasyOCR=9428
ID 14: JSON=8, EasyOCR=8
ID 15: JSON=15, EasyOCR=15
ID 16: JSON=옥아라, EasyOCR=욕아라


=== 이미지: IMG_OCR_6_F_0026814.png ===
ID 1: JSON=6289645379753, EasyOCR=62 896455 29953
ID 2: JSON=입원수술보험, EasyOCR=입원 수술 보험
ID 3: JSON=선준범, EasyOCR=선 준 병
ID 4: JSON=9508.3.22, EasyOCR=9508 '3. 그2
ID 5: JSON=무궁, EasyOCR=무
ID 6: JSON=022656-67-857157, EasyOCR=022656 67 -857/5_
ID 7: JSON=437-7301-3784, EasyOCR=437 - 1301 -3784
ID 8: JSON=본인, EasyOCR=
ID 9: JSON=궉주하, EasyOCR=꼭 꾸하
ID 10: JSON=117-3705-8953, EasyOCR=117 - 3765 -8953
ID 11: JSON=5217, EasyOCR=5/
ID 12: JSON=2, EasyOCR=
ID 13: JSON=30, EasyOCR=20
ID 14: JSON=육다인, EasyOCR=우다인
ID 15: JSON=국아준, EasyOCR=국아주


=== 이미지: IMG_OCR_6_F_0027111.png ===
ID 1: JSON=계도연, EasyOCR=계도면
ID 2: JSON=989054-3103280, EasyOCR=909654- 3 10328
ID 3: JSON=970-0597-0762, EasyOCR=970- 0591 _ 076
ID 4: JSON=전라남도, EasyOCR=전라남 도
ID 5: JSON=부평구, EasyOCR=부명구
ID 6: JSON=작산동, EasyOCR=작 산동
ID 7: JSON=32, EasyOCR=22
ID 8: JSON=래미이비인후과의원, EasyOCR=래미이 d | 인후과 의원
ID 9: JSON=9460.7.11, EasyOCR=우46o  7 ' I
ID 10: JSON=망간결핍, EasyOCR=당간결 필
ID 11: JSON=7764.1.2, EasyOCR=Anb4 . 1 2
ID 12: JSON=003, EasyOCR=03
ID 13: JSON=3744.10.19, EasyOCR=3744 . I0 (9
ID 14: JSON=2170.3.2, EasyOCR=기70 .3' 2
ID 15: JSON=7577, EasyOCR=7577
ID 16: JSON=1, EasyOCR=
ID 17: JSON=16, EasyOCR=
ID 18: JSON=뢰영현, EasyOCR=리양 현


=== 이미지: IMG_OCR_6_F_0027114.png ===
ID 1: JSON=5391415485409, EasyOCR=539 / 4IS4os(oj
ID 2: JSON=해상보험, EasyOCR=해상보 힘
ID 3: JSON=손영순, EasyOCR=손현순
ID 4: JSON=4267.6.9, EasyOCR=4267 ' 619
ID 5: JSON=강산, EasyOCR=감산
ID 6: JSON=850001-21-492769, EasyOCR=B62o01 2 092769
ID 7: JSON=867-2433-9383, EasyOCR=860 - 2433 9383
ID 8: JSON=손녀, EasyOCR=손
ID 9: JSON=길지웅, EasyOCR=길 지움
ID 10: JSON=101-7970-8877, EasyOCR=101 0970-887)
ID 11: JSON=1748, EasyOCR=17 48
ID 12: JSON=10, EasyOCR=
ID 13: JSON=17, EasyOCR=
ID 14: JSON=사유안, EasyOCR=사유안
ID 15: JSON=차도율, EasyOCR=차도움


=== 이미지: IMG_OCR_6_F_0027414.png ===
ID 1: JSON=7934470558334, EasyOCR=77934470558334
ID 2: JSON=치매간병보험, EasyOCR=치매 간볍보험
ID 3: JSON=허석민, EasyOCR=허석민
ID 4: JSON=7994.8.27, EasyOCR=7994827
ID 5: JSON=나라, EasyOCR=
ID 6: JSON=952163-54-844289, EasyOCR=9521 63-54-84489
ID 7: JSON=192-5989-0566, EasyOCR=192-5989-0566
ID 8: JSON=시조부, EasyOCR=시조
ID 9: JSON=무본경은, EasyOCR=무본 경은
ID 10: JSON=076-7747-8532, EasyOCR=076-(7747-8532
ID 11: JSON=7787, EasyOCR=778'
ID 12: JSON=8, EasyOCR=
ID 13: JSON=6, EasyOCR=
ID 14: JSON=박해인, EasyOCR=박해인
ID 15: JSON=후상윤, EasyOCR=후상운


=== 이미지: IMG_OCR_6_F_0028611.png ===
ID 1: JSON=김유림, EasyOCR=유량
ID 2: JSON=954330-9442892, EasyOCR=950330- 9442892
ID 3: JSON=328-4410-4899, EasyOCR=328-Lulo _ 나899
ID 4: JSON=부산광역시, EasyOCR=부산t광력시
ID 5: JSON=동남구, EasyOCR=동플구
ID 6: JSON=관작리, EasyOCR=관작리
ID 7: JSON=591, EasyOCR=591
ID 8: JSON=빨강이비인후과의원, EasyOCR=빨강 o비인후과의원
ID 9: JSON=4955.9.24, EasyOCR=(955 9. 24
ID 10: JSON=폐탄저병, EasyOCR=떼탕 저병
ID 11: JSON=5543.8.23, EasyOCR=눈5 나? 8 23
ID 12: JSON=929, EasyOCR=929
ID 13: JSON=2546.12.17, EasyOCR=2546. 12. 17
ID 14: JSON=9749.10.29, EasyOCR=949 10 29
ID 15: JSON=5374, EasyOCR=5374
